user_id,article_id,article_rating
453,1868,5
763,2337,3
591,1253,9
1232,497,6
860,2616,1
591,1391,4
239,1392,4
2227,2212,5
591,1526,4
249,1986,1
716,2521,7
752,1082,2
912,2326,7
928,526,7
591,792,2
591,876,9
608,1082,2
1540,1444,7
608,2573,1
608,16,6
963,617,3
591,1346,9
2222,2337,2
2411,792,7
591,1391,3
1492,491,7
591,1015,8
591,1082,10
591,1046,1
591,1868,6
2397,1281,5
591,1391,8
591,1322,4
1080,2346,3
239,1082,2
608,2371,1
2046,1391,8
2227,2257,6
835,1391,8
39,2041,7
591,2661,3
591,738,2
2259,1391,9
1894,1391,6
591,2049,7
2397,1986,3
1007,1195,5
591,1082,10
591,1082,1
591,2142,6
591,1625,2
591,460,7
2311,36,10
1859,493,6
591,485,4
239,1952,10
608,1106,6
2430,480,10
2090,607,3
238,480,7
1418,1333,3
608,2053,3
239,307,7
591,1082,3
1499,1461,5
591,1391,6
591,1082,10
2330,1391,5
575,240,7
1774,1250,6
608,2337,2
591,2012,5
2111,688,4
2202,2337,8
1600,2371,7
591,1082,2
1880,2590,4
1313,2500,3
1537,2343,4
608,2704,2
222,1525,8
2232,583,10
1028,377,4
784,2636,1
1995,792,8
591,1082,1
993,1192,7
591,1034,3
591,886,6
1622,1082,1
591,71,7
978,1503,2
2249,1055,1
591,1082,3
127,1392,6
591,480,7
1370,884,10
591,1732,7
2106,760,10
1432,1651,4
1728,1455,3
608,1391,10
2437,926,9
1540,1160,3
2108,1371,5
608,1702,4
1327,879,4
1716,1371,9
591,1391,5
2042,1986,7
1540,1640,2
2227,1010,6
591,2132,10
1990,1391,9
2106,350,1
591,1268,4
239,599,8
2217,784,2
591,2404,10
591,1391,2
591,418,3
747,1618,4
591,696,10
988,672,2
591,1657,3
1433,1391,10
239,2532,10
757,530,5
284,1471,2
1978,1391,6
591,910,2
18,1490,8
2404,1772,6
1107,803,7
608,1014,7
2064,423,6
591,1391,7
591,1391,9
591,2219,6
1018,1962,2
2437,398,5
591,1573,8
489,1575,7
591,2268,5
662,2542,5
672,333,10
1193,982,10
591,1281,4
2250,1715,4
1393,1064,8
2227,1531,6
934,1082,2
591,21,10
296,2008,2
2023,689,1
591,1281,5
591,2603,8
608,2371,9
608,617,4
591,660,4
2313,1391,10
591,480,1
1944,1391,4
591,240,7
1688,2565,3
591,2183,4
1330,214,10
591,803,4
835,1657,4
591,1391,1
186,1391,7
591,1288,6
1200,2488,6
1736,2543,1
591,792,10
2026,816,2
114,2696,6
2012,32,8
2491,2565,2
1251,2399,10
591,2024,9
2227,1491,2
591,1282,3
591,1082,1
591,121,9
591,1391,8
1675,1082,6
591,1082,8
2060,1333,7
591,803,6
2377,1391,7
201,1391,8
1450,930,9
591,2371,9
591,1391,8
591,1082,2
591,1785,10
1854,1082,2
591,1839,1
1330,2371,3
591,1281,4
591,2245,8
176,689,6
591,2371,5
591,352,7
1663,1357,3
608,1698,10
591,792,4
1330,323,6
803,1252,6
2227,2661,3
1205,845,3
261,2371,9
1176,738,4
61,2286,8
315,1082,9
2397,861,2
2397,1082,2
422,2337,3
591,1499,4
1528,2371,3
239,1227,2
591,2228,2
2167,2101,2
591,660,5
591,816,4
2397,1418,5
591,792,2
960,1657,7
873,1755,6
1540,1345,10
678,391,5
2397,989,3
591,1082,5
591,1281,2
591,2043,2
1049,620,8
239,539,1
608,1986,6
591,94,6
873,204,4
591,1537,2
2325,1986,1
1631,2590,8
591,801,2
591,2661,3
1619,1280,7
608,1082,2
350,803,8
1552,2268,3
591,214,4
591,1922,5
591,98,7
591,1082,3
591,876,9
591,460,10
242,2112,8
2477,705,5
608,240,5
1266,1391,3
2225,1368,6
2430,1729,2
591,792,10
2397,803,6
1413,1074,3
1515,2436,7
1078,1391,4
591,1478,2
608,1690,10
1242,2661,5
1171,1119,6
608,141,5
591,1342,3
2397,1757,6
591,820,2
1003,1474,8
616,1082,9
851,480,9
591,1391,4
873,307,8
1764,876,9
239,2477,9
2090,1423,3
1280,1391,6
398,524,4
591,1391,9
2125,2268,9
2153,328,8
1895,2434,8
848,689,3
591,2371,1
315,1010,1
591,1391,2
591,1702,10
1086,816,4
608,2268,1
591,2371,3
2437,870,7
2089,2543,1
1104,1302,4
1223,1743,4
591,2590,10
591,1520,6
662,480,5
591,660,4
591,2077,3
591,1391,2
591,1391,9
410,2399,10
67,2666,2
658,2219,7
608,1969,9
1507,1391,8
608,1817,1
591,2097,4
855,2549,5
2343,1082,4
2174,267,8
591,803,5
437,493,9
591,572,6
591,214,8
591,2068,6
1330,1132,5
608,1391,4
591,583,3
1576,418,3
608,1082,7
75,816,9
591,751,4
819,1446,3
591,1505,10
591,803,9
591,1391,8
591,1391,9
591,1063,5
591,943,7
608,2647,3
591,588,7
591,2337,6
674,1616,6
1775,1391,4
608,2105,7
1182,2423,1
642,399,7
751,689,1
2092,1082,1
2158,1391,5
800,241,8
2238,1395,6
2253,964,4
2106,2091,6
2106,445,1
339,1910,10
591,2202,3
2455,2664,2
26,2171,8
239,1,4
591,240,8
2397,1082,5
1330,1511,4
1330,2661,5
588,1177,2
873,920,3
436,2518,6
591,870,5
1808,1508,2
1725,1082,3
2225,1391,9
591,1391,9
591,1868,10
239,1391,1
1025,746,2
591,426,2
2157,1391,7
591,1969,7
273,1454,9
591,1082,4
2303,1358,9
271,1391,5
591,1206,10
2384,2236,7
1418,1082,7
608,257,3
608,240,6
608,2295,2
2513,419,7
2176,460,9
1432,1082,8
450,1391,7
591,1106,6
873,1082,5
1675,2268,10
2063,2247,10
608,2029,7
591,1391,8
591,1245,8
933,2219,7
713,1314,7
220,2271,10
2174,1840,7
591,816,9
1540,558,2
1391,1391,3
2311,792,10
239,1060,1
591,1082,8
591,161,10
591,1391,10
483,617,2
1895,1281,7
591,1364,4
2261,2268,2
1303,2371,4
2464,1249,9
1333,877,1
2227,1391,4
591,300,1
431,1391,8
591,2419,6
591,1311,3
591,2020,2
1330,460,3
2078,2460,9
591,1391,3
591,1641,8
591,1082,2
315,2337,9
239,2295,2
263,1281,9
591,1391,5
2227,2346,8
591,1082,10
1071,1346,4
1655,1712,8
2342,1346,10
2108,782,3
591,1074,2
2023,1391,2
591,1281,5
2027,2480,7
591,2371,9
591,299,10
591,1391,2
591,1391,6
591,2268,4
1723,2371,4
1675,2434,10
79,2132,6
608,21,5
2232,145,1
591,1082,10
1769,1269,10
591,1632,8
2356,1399,10
2436,1082,3
1091,2268,1
